Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 6,,5,1,25481796,,,3955,6442,25481796,1,False
May 7,,6,1,23341263,-8.4,,3955,5901,48823059,2,False
May 8,,7,1,16900279,-27.6,,3955,4273,65723338,3,False
May 9,,1,1,5403057,-68.0,,3955,1366,71126395,4,False
May 10,,2,1,5410419,0.1,,3955,1367,76536814,5,False
May 11,,3,1,4189021,-22.6,,3955,1059,80725835,6,False
May 12,,4,1,4026482,-3.9,,3955,1018,84752317,7,False
May 13,,5,1,9140767,127.0,-64.1,3963,2306,93893084,8,False
May 14,,6,1,15171878,66.0,-35.0,3963,3828,109064962,9,False
May 15,,7,1,10390390,-31.5,-38.5,3963,2621,119455352,10,False
May 16,,1,2,2856650,-72.5,-47.1,3963,720,122312002,11,False
May 17,,2,2,3090024,8.2,-42.9,3963,779,125402026,12,False
May 18,,3,2,2303232,-25.5,-45.0,3963,581,127705258,13,False
May 19,,4,2,2200897,-4.4,-45.3,3963,555,129906155,14,False
May 20,,5,3,4353422,97.8,-52.4,3924,1109,134259577,15,False
May 21,,6,3,6492846,49.1,-57.2,3924,1654,140752423,16,False
May 22,,7,3,4609036,-29.0,-55.6,3924,1174,145361459,17,False
May 23,,1,3,1678808,-63.6,-41.2,3924,427,147040267,18,False
May 24,,2,3,1284927,-23.5,-58.4,3924,327,148325194,19,False
May 25,,3,3,1085331,-15.5,-52.9,3924,276,149410525,20,False
May 26,,4,5,948778,-12.6,-56.9,3296,287,150359303,21,False
May 27,,5,5,2483793,161.8,-42.9,3296,753,152843096,22,False
May 28,,6,5,3639713,46.5,-43.9,3296,1104,156482809,23,False
May 29,,7,5,3410364,-6.3,-26.0,3296,1034,159893173,24,False
May 30,Memorial Day,1,5,2546271,-25.3,51.7,3296,772,162439444,25,False
May 31,,2,5,853193,-66.5,-33.6,3296,258,163292637,26,False
Jun 1,,3,5,772079,-9.5,-28.9,3296,234,164064716,27,False
Jun 2,,4,5,808188,4.7,-14.8,3296,245,164872904,28,False
Jun 3,,5,6,1245864,54.2,-49.8,2780,448,166118768,29,False
Jun 4,,6,6,1830703,46.9,-49.7,2780,658,167949471,30,False
Jun 5,,7,6,1173477,-35.9,-65.6,2780,422,169122948,31,False
Jun 6,,1,6,500801,-57.3,-80.3,2780,180,169623749,32,False
Jun 7,,2,6,550679,10.0,-35.5,2780,198,170174428,33,False
Jun 8,,3,6,510429,-7.3,-33.9,2780,183,170684857,34,False
Jun 9,,4,7,544651,6.7,-32.6,2780,195,171229508,35,False
Jun 10,,5,9,712214,30.8,-42.8,1782,399,171941722,36,False
Jun 11,,6,9,1057322,48.5,-42.2,1782,593,172999044,37,False
Jun 12,,7,9,665679,-37.0,-43.3,1782,373,173664723,38,False
Jun 13,,1,9,302910,-54.5,-39.5,1782,169,173967633,39,False
Jun 14,,2,10,341126,12.6,-38.1,1782,191,174308759,40,False
Jun 15,,3,9,309120,-9.4,-39.4,1782,173,174617879,41,False
Jun 16,,4,9,348123,12.6,-36.1,1782,195,174966002,42,False
Jun 17,,5,12,312243,-10.3,-56.2,875,356,175278245,43,False
Jun 18,,6,12,434218,39.1,-58.9,875,496,175712463,44,False
Jun 19,,7,11,398615,-8.2,-40.1,875,455,176111078,45,False
Jun 20,,1,12,143401,-64.0,-52.7,875,163,176254479,46,False
Jun 21,,2,13,155702,8.6,-54.4,875,177,176410181,47,False
Jun 22,,3,12,144504,-7.2,-53.3,875,165,176554685,48,False
Jun 23,,4,11,157379,8.9,-54.8,875,179,176712064,49,False
Jun 24,,5,16,154518,-1.8,-50.5,404,382,176866582,50,False
Jun 25,,6,14,208802,35.1,-51.9,404,516,177075384,51,False
Jun 26,,7,15,147980,-29.1,-62.9,404,366,177223364,52,False
Jun 27,,1,15,74284,-49.8,-48.2,404,183,177297648,53,False
Jun 28,,2,17,81194,9.3,-47.9,404,200,177378842,54,False
Jun 29,,3,15,63035,-22.4,-56.4,404,156,177441877,55,False
Jun 30,,4,15,75403,19.6,-52.1,404,186,177517280,56,False
Jul 1,,5,19,123076,63.2,-20.3,270,455,177640356,57,False
Jul 2,,6,19,163140,32.6,-21.9,270,604,177803496,58,False
Jul 3,,7,19,114087,-30.1,-22.9,270,422,177917583,59,False
Jul 4,Independence Day,1,19,70517,-38.2,-5.1,270,261,177988100,60,False
Jul 5,,2,17,63062,-10.6,-22.3,270,233,178051162,61,False
Jul 6,,3,19,55894,-11.4,-11.3,270,207,178107056,62,False
Jul 7,,4,19,59607,6.6,-20.9,270,220,178166663,63,False
Jul 8,,5,18,176891,196.8,43.7,315,561,178343554,64,False
Jul 9,,6,19,224225,26.8,37.4,315,711,178567779,65,False
Jul 10,,7,18,172192,-23.2,50.9,315,546,178739971,66,False
Jul 11,,1,18,93836,-45.5,33.1,315,297,178833807,67,False
Jul 12,,2,18,108238,15.3,71.6,315,343,178942045,68,False
Jul 13,,3,18,88512,-18.2,58.4,315,280,179030557,69,False
Jul 14,,4,18,84450,-4.6,41.7,315,268,179115007,70,False
Jul 15,,5,20,110300,30.6,-37.6,272,405,179225307,71,False
Jul 16,,6,21,156156,41.6,-30.4,272,574,179381463,72,False
Jul 17,,7,21,119699,-23.3,-30.5,272,440,179501162,73,False
Jul 18,,1,19,68008,-43.2,-27.5,272,250,179569170,74,False
Jul 19,,2,20,80002,17.6,-26.1,272,294,179649172,75,False
Jul 20,,3,21,69202,-13.5,-21.8,272,254,179718374,76,False
Jul 21,,4,21,74814,8.1,-11.4,272,275,179793188,77,False
Jul 22,,5,20,100665,34.6,-8.7,236,426,179893853,78,False
Jul 23,,6,20,135923,35.0,-13.0,236,575,180029776,79,False
Jul 24,,7,18,106412,-21.7,-11.1,236,450,180136188,80,False
Jul 25,,1,18,58223,-45.3,-14.4,236,246,180194411,81,False
Jul 26,,2,20,66247,13.8,-17.2,236,280,180260658,82,False
Jul 27,,3,20,55718,-15.9,-19.5,236,236,180316376,83,False
Jul 28,,4,20,56888,2.1,-24.0,236,241,180373264,84,False
Jul 29,,5,25,60513,6.4,-39.9,190,318,180433777,85,False
Jul 30,,6,25,79500,31.4,-41.5,190,418,180513277,86,False
Jul 31,,7,23,67518,-15.1,-36.6,190,355,180580795,87,False
Aug 1,,1,24,33485,-50.4,-42.5,190,176,180614280,88,False
