Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Feb 16PyeongChang Olympics,Friday,1,"$75,941,146",-,-,"4,020","$18,890","$75,941,146",1,false
Feb 17PyeongChang Olympics,Saturday,1,"$65,995,366",-13.1%,-,"4,020","$16,416","$141,936,512",2,false
Feb 18PyeongChang Olympics,Sunday,1,"$60,067,439",-9%,-,"4,020","$14,942","$202,003,951",3,false
Feb 19Presidents' DayPyeongChang Olympics,Monday,1,"$40,151,729",-33.2%,-,"4,020","$9,987","$242,155,680",4,false
Feb 20PyeongChang Olympics,Tuesday,1,"$20,857,361",-48.1%,-72.5%,"4,020","$5,188","$263,013,041",5,false
Feb 21PyeongChang Olympics,Wednesday,1,"$14,688,057",-29.6%,-77.7%,"4,020","$3,653","$277,701,098",6,false
Feb 22PyeongChang Olympics,Thursday,1,"$14,253,324",-3%,-76.3%,"4,020","$3,545","$291,954,422",7,false
Feb 23PyeongChang Olympics,Friday,1,"$28,789,877",+102%,-62.1%,"4,020","$7,161","$320,744,299",8,false
Feb 24PyeongChang Olympics,Saturday,1,"$47,553,478",+65.2%,-27.9%,"4,020","$11,829","$368,297,777",9,false
Feb 25PyeongChang Olympics,Sunday,1,"$35,315,480",-25.7%,-41.2%,"4,020","$8,784","$403,613,257",10,false
Feb 26,Monday,1,"$8,098,481",-77.1%,-79.8%,"4,020","$2,014","$411,711,738",11,false
Feb 27,Tuesday,1,"$10,204,038",+26%,-51.1%,"4,020","$2,538","$421,915,776",12,false
Feb 28,Wednesday,1,"$6,876,570",-32.6%,-53.2%,"4,020","$1,710","$428,792,346",13,false
Mar 1,Thursday,1,"$6,607,691",-3.9%,-53.6%,"4,020","$1,643","$435,400,037",14,false
Mar 2,Friday,1,"$16,257,536",+146%,-43.5%,"4,084","$3,980","$451,657,573",15,false
Mar 3,Saturday,1,"$30,052,665",+84.9%,-36.8%,"4,084","$7,358","$481,710,238",16,false
Mar 4,Sunday,1,"$19,996,734",-33.5%,-43.4%,"4,084","$4,896","$501,706,972",17,false
Mar 5,Monday,1,"$4,720,738",-76.4%,-41.7%,"4,084","$1,155","$506,427,710",18,false
Mar 6,Tuesday,1,"$6,258,583",+32.6%,-38.7%,"4,084","$1,532","$512,686,293",19,false
Mar 7,Wednesday,1,"$3,941,783",-37%,-42.7%,"4,084",$965,"$516,628,076",20,false
Mar 8,Thursday,1,"$4,251,525",+7.9%,-35.7%,"4,084","$1,041","$520,879,601",21,false
Mar 9,Friday,2,"$10,018,784",+135.7%,-38.4%,"3,942","$2,541","$530,898,385",22,false
Mar 10,Saturday,1,"$18,352,112",+83.2%,-38.9%,"3,942","$4,655","$549,250,497",23,false
Mar 11,Sunday,1,"$12,446,683",-32.2%,-37.8%,"3,942","$3,157","$561,697,180",24,false
Mar 12,Monday,1,"$4,035,653",-67.6%,-14.5%,"3,942","$1,023","$565,732,833",25,false
Mar 13,Tuesday,1,"$5,167,907",+28.1%,-17.4%,"3,942","$1,310","$570,900,740",26,false
Mar 14,Wednesday,1,"$3,843,374",-25.6%,-2.5%,"3,942",$974,"$574,744,114",27,false
Mar 15,Thursday,1,"$3,632,414",-5.5%,-14.6%,"3,942",$921,"$578,376,528",28,false
Mar 16,Friday,2,"$7,482,380",+106%,-25.3%,"3,834","$1,951","$585,858,908",29,false
Mar 17,Saturday,1,"$11,558,877",+54.5%,-37%,"3,834","$3,014","$597,417,785",30,false
Mar 18,Sunday,1,"$7,609,433",-34.2%,-38.9%,"3,834","$1,984","$605,027,218",31,false
Mar 19,Monday,1,"$2,188,463",-71.2%,-45.8%,"3,834",$570,"$607,215,681",32,false
Mar 20,Tuesday,1,"$2,834,515",+29.5%,-45.2%,"3,834",$739,"$610,050,196",33,false
Mar 21,Wednesday,1,"$2,052,932",-27.6%,-46.6%,"3,834",$535,"$612,103,128",34,false
Mar 22,Thursday,1,"$2,155,108",+5%,-40.7%,"3,834",$562,"$614,258,236",35,false
Mar 23,Friday,2,"$4,415,270",+104.9%,-41%,"3,370","$1,310","$618,673,506",36,false
Mar 24,Saturday,2,"$7,643,962",+73.1%,-33.9%,"3,370","$2,268","$626,317,468",37,false
Mar 25,Sunday,2,"$5,040,386",-34.1%,-33.8%,"3,370","$1,495","$631,357,854",38,false
Mar 26,Monday,2,"$1,819,598",-63.9%,-16.9%,"3,370",$539,"$633,177,452",39,false
Mar 27,Tuesday,2,"$2,456,628",+35%,-13.3%,"3,370",$728,"$635,634,080",40,false
Mar 28,Wednesday,1,"$1,742,732",-29.1%,-15.1%,"3,370",$517,"$637,376,812",41,false
Mar 29,Thursday,2,"$2,059,822",+18.2%,-4.4%,"3,370",$611,"$639,436,634",42,false
Mar 30,Friday,3,"$4,090,617",+98.6%,-7.4%,"2,988","$1,369","$643,527,251",43,false
Mar 31,Saturday,3,"$4,300,222",+5.1%,-43.7%,"2,988","$1,439","$647,827,473",44,false
Apr 1Easter Sunday,Sunday,3,"$3,096,076",-28%,-38.6%,"2,988","$1,036","$650,923,549",45,false
Apr 2,Monday,3,"$1,635,447",-47.2%,-10.1%,"2,988",$547,"$652,558,996",46,false
Apr 3,Tuesday,3,"$1,667,090",+1.9%,-32.1%,"2,988",$557,"$654,226,086",47,false
Apr 4,Wednesday,2,"$1,397,293",-16.2%,-19.8%,"2,988",$467,"$655,623,379",48,false
Apr 5,Thursday,2,"$1,302,361",-6.8%,-36.8%,"2,988",$435,"$656,925,740",49,false
Apr 6,Friday,5,"$2,348,902",+80.4%,-42.6%,"2,747",$855,"$659,274,642",50,false
Apr 7,Saturday,4,"$3,929,037",+67.3%,-8.6%,"2,747","$1,430","$663,203,679",51,false
Apr 8,Sunday,4,"$2,427,029",-38.2%,-21.6%,"2,747",$883,"$665,630,708",52,false
Apr 9,Monday,4,"$641,593",-73.6%,-60.8%,"2,747",$233,"$666,272,301",53,false
Apr 10,Tuesday,4,"$923,753",+44%,-44.6%,"2,747",$336,"$667,196,054",54,false
Apr 11,Wednesday,4,"$632,898",-31.5%,-54.7%,"2,747",$230,"$667,828,952",55,false
Apr 12,Thursday,4,"$626,570",-1%,-51.9%,"2,747",$228,"$668,455,522",56,false
Apr 13,Friday,7,"$1,449,293",+131.3%,-38.3%,"2,180",$664,"$669,904,815",57,false
Apr 14,Saturday,6,"$2,505,569",+72.9%,-36.2%,"2,180","$1,149","$672,410,384",58,false
Apr 15,Sunday,6,"$1,823,034",-27.2%,-24.9%,"2,180",$836,"$674,233,418",59,false
Apr 16,Monday,7,"$535,137",-70.6%,-16.6%,"2,180",$245,"$674,768,555",60,false
Apr 17,Tuesday,6,"$613,868",+14.7%,-33.5%,"2,180",$281,"$675,382,423",61,false
Apr 18,Wednesday,6,"$505,165",-17.7%,-20.2%,"2,180",$231,"$675,887,588",62,false
Apr 19,Thursday,6,"$554,521",+9.8%,-11.5%,"2,180",$254,"$676,442,109",63,false
Apr 20,Friday,10,"$1,225,404",+121%,-15.4%,"1,930",$634,"$677,667,513",64,false
Apr 21,Saturday,8,"$2,229,298",+81.9%,-11%,"1,930","$1,155","$679,896,811",65,false
Apr 22,Sunday,8,"$1,477,925",-33.7%,-18.9%,"1,930",$765,"$681,374,736",66,false
Apr 23,Monday,8,"$459,094",-68.9%,-14.2%,"1,930",$237,"$681,833,830",67,false
Apr 24,Tuesday,7,"$661,084",+44%,+7.7%,"1,930",$342,"$682,494,914",68,false
