Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jul 9,Friday,1,"$39,510,446",-,-,"4,160","$9,497","$39,510,446",1,false
Jul 10,Saturday,1,"$23,305,929",-41%,-,"4,160","$5,602","$62,816,375",2,false
Jul 11,Sunday,1,"$17,549,937",-24.7%,-,"4,160","$4,218","$80,366,312",3,false
Jul 12,Monday,1,"$7,163,140",-59.2%,-,"4,160","$1,721","$87,529,452",4,false
Jul 13,Tuesday,1,"$7,702,881",+7.5%,-,"4,160","$1,851","$95,232,333",5,false
Jul 14,Wednesday,1,"$5,502,248",-28.6%,-,"4,160","$1,322","$100,734,581",6,false
Jul 15,Thursday,1,"$5,027,090",-8.6%,-,"4,160","$1,208","$105,761,671",7,false
Jul 16,Friday,2,"$8,055,534",+60.2%,-79.6%,"4,275","$1,884","$113,817,205",8,false
Jul 17,Saturday,1,"$10,423,700",+29.4%,-55.3%,"4,275","$2,438","$124,240,905",9,false
Jul 18,Sunday,1,"$7,368,262",-29.3%,-58%,"4,275","$1,723","$131,609,167",10,false
Jul 19,Monday,1,"$3,001,414",-59.3%,-58.1%,"4,275",$702,"$134,610,581",11,false
Jul 20,Tuesday,1,"$3,416,780",+13.8%,-55.6%,"4,275",$799,"$138,027,361",12,false
Jul 21,Wednesday,1,"$2,837,693",-16.9%,-48.4%,"4,275",$663,"$140,865,054",13,false
Jul 22,Thursday,1,"$2,341,629",-17.5%,-53.4%,"4,275",$547,"$143,206,683",14,false
Jul 23,Friday,3,"$3,472,585",+48.3%,-56.9%,"4,250",$817,"$146,679,268",15,false
Jul 24,Saturday,2,"$4,710,893",+35.7%,-54.8%,"4,250","$1,108","$151,390,161",16,false
Jul 25,Sunday,2,"$3,435,420",-27.1%,-53.4%,"4,250",$808,"$154,825,581",17,false
Jul 26,Monday,2,"$1,430,260",-58.4%,-52.3%,"4,250",$336,"$156,255,841",18,false
Jul 27,Tuesday,2,"$1,717,856",+20.1%,-49.7%,"4,250",$404,"$157,973,697",19,false
Jul 28,Wednesday,2,"$1,377,817",-19.8%,-51.4%,"4,250",$324,"$159,351,514",20,false
Jul 29,Thursday,2,"$1,289,348",-6.4%,-44.9%,"4,250",$303,"$160,640,862",21,false
Jul 30,Friday,4,"$1,985,641",+54%,-42.8%,"3,360",$590,"$162,626,503",22,false
Jul 31,Saturday,3,"$2,608,861",+31.4%,-44.6%,"3,360",$776,"$165,235,364",23,false
Aug 1,Sunday,3,"$1,876,681",-28.1%,-45.4%,"3,360",$558,"$167,112,045",24,false
Aug 2,Monday,3,"$853,730",-54.5%,-40.3%,"3,360",$254,"$167,965,775",25,false
Aug 3,Tuesday,3,"$892,760",+4.6%,-48%,"3,360",$265,"$168,858,535",26,false
Aug 4,Wednesday,3,"$791,866",-11.3%,-42.5%,"3,360",$235,"$169,650,401",27,false
Aug 5,Thursday,3,"$701,383",-11.4%,-45.6%,"3,360",$208,"$170,351,784",28,false
Aug 6,Friday,4,"$1,176,348",+67.7%,-40.8%,"3,100",$379,"$171,528,132",29,false
Aug 7,Saturday,4,"$1,668,989",+41.9%,-36%,"3,100",$538,"$173,197,121",30,false
Aug 8,Sunday,4,"$1,082,915",-35.1%,-42.3%,"3,100",$349,"$174,280,036",31,false
Aug 9,Monday,3,"$481,525",-55.5%,-43.6%,"3,100",$155,"$174,761,561",32,false
Aug 10,Tuesday,3,"$558,709",+16%,-37.4%,"3,100",$180,"$175,320,270",33,false
Aug 11,Wednesday,3,"$456,736",-18.3%,-42.3%,"3,100",$147,"$175,777,006",34,false
Aug 12,Thursday,2,"$422,525",-7.5%,-39.8%,"3,100",$136,"$176,199,531",35,false
Aug 13,Friday,6,"$555,439",+31.5%,-52.8%,"2,060",$269,"$176,754,970",36,false
Aug 14,Saturday,6,"$818,674",+47.4%,-50.9%,"2,060",$397,"$177,573,644",37,false
Aug 15,Sunday,6,"$537,500",-34.3%,-50.4%,"2,060",$260,"$178,111,144",38,false
Aug 16,Monday,6,"$228,460",-57.5%,-52.6%,"2,060",$110,"$178,339,604",39,false
Aug 17,Tuesday,6,"$273,204",+19.6%,-51.1%,"2,060",$132,"$178,612,808",40,false
Aug 18,Wednesday,6,"$225,888",-17.3%,-50.5%,"2,060",$109,"$178,838,696",41,false
Aug 19,Thursday,6,"$215,347",-4.7%,-49%,"2,060",$104,"$179,054,043",42,false
