Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 6,Friday,1,"$75,502,161",-,-,"4,226","$17,866","$75,502,161",1,false
May 7,Saturday,1,"$61,209,001",-18.9%,-,"4,226","$14,483","$136,711,162",2,false
May 8,Sunday,1,"$42,427,980",-30.7%,-,"4,226","$10,039","$179,139,142",3,false
May 9,Monday,1,"$13,291,876",-68.7%,-,"4,226","$3,145","$192,431,018",4,false
May 10,Tuesday,1,"$13,761,120",+3.5%,-,"4,226","$3,256","$206,192,138",5,false
May 11,Wednesday,1,"$8,976,371",-34.8%,-,"4,226","$2,124","$215,168,509",6,false
May 12,Thursday,1,"$8,160,569",-9.1%,-,"4,226","$1,931","$223,329,078",7,false
May 13,Friday,1,"$19,612,028",+140.3%,-74%,"4,226","$4,640","$242,941,106",8,false
May 14,Saturday,1,"$31,960,342",+63%,-47.8%,"4,226","$7,562","$274,901,448",9,false
May 15,Sunday,1,"$21,064,772",-34.1%,-50.4%,"4,226","$4,984","$295,966,220",10,false
May 16,Monday,1,"$4,751,083",-77.4%,-64.3%,"4,226","$1,124","$300,717,303",11,false
May 17,Tuesday,1,"$5,928,602",+24.8%,-56.9%,"4,226","$1,402","$306,645,905",12,false
May 18,Wednesday,1,"$3,899,984",-34.2%,-56.6%,"4,226",$922,"$310,545,889",13,false
May 19,Thursday,1,"$3,730,264",-4.4%,-54.3%,"4,226",$882,"$314,276,153",14,false
May 20,Friday,3,"$8,612,395",+130.9%,-56.1%,"4,226","$2,037","$322,888,548",15,false
May 21,Saturday,2,"$14,623,025",+69.8%,-54.2%,"4,226","$3,460","$337,511,573",16,false
May 22,Sunday,2,"$9,704,319",-33.6%,-53.9%,"4,226","$2,296","$347,215,892",17,false
May 23,Monday,1,"$3,020,789",-68.9%,-36.4%,"4,226",$714,"$350,236,681",18,false
May 24,Tuesday,1,"$2,889,710",-4.3%,-51.3%,"4,226",$683,"$353,126,391",19,false
May 25,Wednesday,1,"$2,272,708",-21.4%,-41.7%,"4,226",$537,"$355,399,099",20,false
May 26,Thursday,1,"$2,076,849",-8.6%,-44.3%,"4,226",$491,"$357,475,948",21,false
May 27,Friday,4,"$4,046,772",+94.9%,-53%,"3,395","$1,191","$361,522,720",22,false
May 28,Saturday,4,"$5,793,941",+43.2%,-60.4%,"3,395","$1,706","$367,316,661",23,false
May 29,Sunday,4,"$5,555,011",-4.1%,-42.8%,"3,395","$1,636","$372,871,672",24,false
May 30Memorial Day,Monday,4,"$4,608,785",-17%,+52.6%,"3,395","$1,357","$377,480,457",25,false
May 31,Tuesday,4,"$1,548,605",-66.4%,-46.4%,"3,395",$456,"$379,029,062",26,false
Jun 1,Wednesday,4,"$1,201,806",-22.4%,-47.1%,"3,395",$353,"$380,230,868",27,false
Jun 2,Thursday,4,"$1,118,289",-6.9%,-46.2%,"3,395",$329,"$381,349,157",28,false
Jun 3,Friday,6,"$2,096,013",+87.4%,-48.2%,"3,084",$679,"$383,445,170",29,false
Jun 4,Saturday,6,"$3,311,126",+58%,-42.9%,"3,084","$1,073","$386,756,296",30,false
Jun 5,Sunday,6,"$2,422,340",-26.8%,-56.4%,"3,084",$785,"$389,178,636",31,false
Jun 6,Monday,6,"$837,255",-65.4%,-81.8%,"3,084",$271,"$390,015,891",32,false
Jun 7,Tuesday,6,"$995,368",+18.9%,-35.7%,"3,084",$322,"$391,011,259",33,false
Jun 8,Wednesday,6,"$772,948",-22.3%,-35.7%,"3,084",$250,"$391,784,207",34,false
Jun 9,Thursday,6,"$772,941",<0.1%,-30.9%,"3,084",$250,"$392,557,148",35,false
Jun 10,Friday,9,"$1,169,004",+51.2%,-44.2%,"2,101",$556,"$393,726,152",36,false
Jun 11,Saturday,9,"$1,884,866",+61.2%,-43.1%,"2,101",$897,"$395,611,018",37,false
Jun 12,Sunday,9,"$1,260,472",-33.1%,-48%,"2,101",$599,"$396,871,490",38,false
