Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Apr 4,Friday,1,"$36,926,192",-,-,"3,938","$9,376","$36,926,192",1,false
Apr 5,Saturday,1,"$34,666,864",-6.1%,-,"3,938","$8,803","$71,593,056",2,false
Apr 6,Sunday,1,"$23,430,665",-32.4%,-,"3,938","$5,949","$95,023,721",3,false
Apr 7,Monday,1,"$6,219,552",-73.5%,-,"3,938","$1,579","$101,243,273",4,false
Apr 8,Tuesday,1,"$6,977,056",+12.2%,-,"3,938","$1,771","$108,220,329",5,false
Apr 9,Wednesday,1,"$4,805,702",-31.1%,-,"3,938","$1,220","$113,026,031",6,false
Apr 10,Thursday,1,"$4,582,140",-4.7%,-,"3,938","$1,163","$117,608,171",7,false
Apr 11,Friday,2,"$11,866,741",+159%,-67.9%,"3,938","$3,013","$129,474,912",8,false
Apr 12,Saturday,1,"$17,734,355",+49.4%,-48.8%,"3,938","$4,503","$147,209,267",9,false
Apr 13,Sunday,2,"$11,673,765",-34.2%,-50.2%,"3,938","$2,964","$158,883,032",10,false
Apr 14,Monday,1,"$3,462,915",-70.3%,-44.3%,"3,938",$879,"$162,345,947",11,false
Apr 15,Tuesday,1,"$4,726,740",+36.5%,-32.3%,"3,938","$1,200","$167,072,687",12,false
Apr 16,Wednesday,2,"$3,524,058",-25.4%,-26.7%,"3,938",$894,"$170,596,745",13,false
Apr 17,Thursday,1,"$4,317,709",+22.5%,-5.8%,"3,938","$1,096","$174,914,454",14,false
Apr 18,Friday,1,"$9,503,748",+120.1%,-19.9%,"3,825","$2,484","$184,418,202",15,false
Apr 19,Saturday,1,"$10,336,793",+8.8%,-41.7%,"3,825","$2,702","$194,754,995",16,false
Apr 20Easter Sunday,Sunday,2,"$5,746,515",-44.4%,-50.8%,"3,825","$1,502","$200,501,510",17,false
Apr 21,Monday,2,"$2,595,127",-54.8%,-25.1%,"3,825",$678,"$203,096,637",18,false
Apr 22,Tuesday,2,"$2,205,248",-15%,-53.3%,"3,825",$576,"$205,301,885",19,false
Apr 23,Wednesday,2,"$1,773,553",-19.6%,-49.7%,"3,825",$463,"$207,075,438",20,false
Apr 24,Thursday,1,"$1,764,778",-0.5%,-59.1%,"3,825",$461,"$208,840,216",21,false
Apr 25,Friday,2,"$4,415,521",+150.2%,-53.5%,"3,620","$1,219","$213,255,737",22,false
Apr 26,Saturday,2,"$7,318,408",+65.7%,-29.2%,"3,620","$2,021","$220,574,145",23,false
Apr 27,Sunday,2,"$4,485,096",-38.7%,-22%,"3,620","$1,238","$225,059,241",24,false
Apr 28,Monday,2,"$1,067,512",-76.2%,-58.9%,"3,620",$294,"$226,126,753",25,false
Apr 29,Tuesday,3,"$1,340,240",+25.5%,-39.2%,"3,620",$370,"$227,466,993",26,false
Apr 30,Wednesday,2,"$1,062,874",-20.7%,-40.1%,"3,620",$293,"$228,529,867",27,false
May 1,Thursday,3,"$851,344",-19.9%,-51.8%,"3,620",$235,"$229,381,211",28,false
