Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Mar 8,Friday,1,"$61,715,051",-,-,"4,310","$14,319","$61,715,051",1,false
Mar 9,Saturday,1,"$52,872,536",-14.3%,-,"4,310","$12,267","$114,587,587",2,false
Mar 10,Sunday,1,"$38,845,836",-26.5%,-,"4,310","$9,012","$153,433,423",3,false
Mar 11,Monday,1,"$10,986,773",-71.7%,-,"4,310","$2,549","$164,420,196",4,false
Mar 12,Tuesday,1,"$14,641,119",+33.3%,-,"4,310","$3,397","$179,061,315",5,false
Mar 13,Wednesday,1,"$8,586,183",-41.4%,-,"4,310","$1,992","$187,647,498",6,false
Mar 14,Thursday,1,"$9,248,435",+7.7%,-,"4,310","$2,145","$196,895,933",7,false
Mar 15,Friday,1,"$19,036,521",+105.8%,-69.2%,"4,310","$4,416","$215,932,454",8,false
Mar 16,Saturday,1,"$29,418,618",+54.5%,-44.4%,"4,310","$6,825","$245,351,072",9,false
Mar 17,Sunday,1,"$19,532,991",-33.6%,-49.7%,"4,310","$4,532","$264,884,063",10,false
Mar 18,Monday,1,"$5,195,836",-73.4%,-52.7%,"4,310","$1,205","$270,079,899",11,false
Mar 19,Tuesday,1,"$7,603,865",+46.3%,-48.1%,"4,310","$1,764","$277,683,764",12,false
Mar 20,Wednesday,1,"$4,567,773",-39.9%,-46.8%,"4,310","$1,059","$282,251,537",13,false
Mar 21,Thursday,1,"$4,226,298",-7.5%,-54.3%,"4,310",$980,"$286,477,835",14,false
Mar 22,Friday,2,"$9,120,858",+115.8%,-52.1%,"4,278","$2,132","$295,598,693",15,false
Mar 23,Saturday,2,"$15,125,497",+65.8%,-48.6%,"4,278","$3,535","$310,724,190",16,false
Mar 24,Sunday,2,"$10,025,438",-33.7%,-48.7%,"4,278","$2,343","$320,749,628",17,false
Mar 25,Monday,2,"$2,896,405",-71.1%,-44.3%,"4,278",$677,"$323,646,033",18,false
Mar 26,Tuesday,2,"$4,331,261",+49.5%,-43%,"4,278","$1,012","$327,977,294",19,false
Mar 27,Wednesday,2,"$2,809,109",-35.1%,-38.5%,"4,278",$656,"$330,786,403",20,false
Mar 28,Thursday,2,"$2,519,412",-10.3%,-40.4%,"4,278",$588,"$333,305,815",21,false
Mar 29,Friday,3,"$5,499,784",+118.3%,-39.7%,"3,985","$1,380","$338,805,599",22,false
Mar 30,Saturday,3,"$9,089,329",+65.3%,-39.9%,"3,985","$2,280","$347,894,928",23,false
Mar 31,Sunday,3,"$6,075,151",-33.2%,-39.4%,"3,985","$1,524","$353,970,079",24,false
Apr 1,Monday,3,"$1,658,844",-72.7%,-42.7%,"3,985",$416,"$355,628,923",25,false
Apr 2,Tuesday,3,"$2,522,851",+52.1%,-41.8%,"3,985",$633,"$358,151,774",26,false
Apr 3,Wednesday,3,"$1,719,827",-31.8%,-38.8%,"3,985",$431,"$359,871,601",27,false
Apr 4,Thursday,3,"$1,579,962",-8.1%,-37.3%,"3,985",$396,"$361,451,563",28,false
Apr 5,Friday,5,"$3,447,080",+118.2%,-37.3%,"3,573",$964,"$364,898,643",29,false
Apr 6,Saturday,5,"$5,360,651",+55.5%,-41%,"3,573","$1,500","$370,259,294",30,false
Apr 7,Sunday,4,"$3,624,072",-32.4%,-40.3%,"3,573","$1,014","$373,883,366",31,false
Apr 8,Monday,5,"$865,424",-76.1%,-47.8%,"3,573",$242,"$374,748,790",32,false
Apr 9,Tuesday,5,"$1,382,319",+59.7%,-45.2%,"3,573",$386,"$376,131,109",33,false
Apr 10,Wednesday,5,"$896,187",-35.2%,-47.9%,"3,573",$250,"$377,027,296",34,false
