Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 6,Friday,1,"$90,720,784",-,-,"4,534","$20,008","$90,720,784",1,false
May 7,Saturday,1,"$57,806,850",-36.3%,-,"4,534","$12,749","$148,527,634",2,false
May 8,Sunday,1,"$38,893,364",-32.7%,-,"4,534","$8,578","$187,420,998",3,false
May 9,Monday,1,"$13,620,560",-65%,-,"4,534","$3,004","$201,041,558",4,false
May 10,Tuesday,1,"$12,606,682",-7.4%,-,"4,534","$2,780","$213,648,240",5,false
May 11,Wednesday,1,"$9,102,016",-27.8%,-,"4,534","$2,007","$222,750,256",6,false
May 12,Thursday,1,"$8,109,267",-10.9%,-,"4,534","$1,788","$230,859,523",7,false
May 13,Friday,1,"$17,133,926",+111.3%,-81.1%,"4,534","$3,778","$247,993,449",8,false
May 14,Saturday,1,"$26,452,876",+54.4%,-54.2%,"4,534","$5,834","$274,446,325",9,false
May 15,Sunday,1,"$18,169,002",-31.3%,-53.3%,"4,534","$4,007","$292,615,327",10,false
May 16,Monday,1,"$4,812,753",-73.5%,-64.7%,"4,534","$1,061","$297,428,080",11,false
May 17,Tuesday,1,"$5,283,222",+9.8%,-58.1%,"4,534","$1,165","$302,711,302",12,false
May 18,Wednesday,1,"$3,910,188",-26%,-57%,"4,534",$862,"$306,621,490",13,false
May 19,Thursday,1,"$3,858,995",-1.3%,-52.4%,"4,534",$851,"$310,480,485",14,false
May 20,Friday,1,"$8,568,406",+122%,-50%,"4,534","$1,889","$319,048,891",15,false
May 21,Saturday,1,"$13,801,107",+61.1%,-47.8%,"4,534","$3,043","$332,849,998",16,false
May 22,Sunday,1,"$9,935,047",-28%,-45.3%,"4,534","$2,191","$342,785,045",17,false
May 23,Monday,1,"$3,326,033",-66.5%,-30.9%,"4,534",$733,"$346,111,078",18,false
May 24,Tuesday,1,"$3,093,792",-7%,-41.4%,"4,534",$682,"$349,204,870",19,false
May 25,Wednesday,1,"$2,787,470",-9.9%,-28.7%,"4,534",$614,"$351,992,340",20,false
May 26,Thursday,1,"$2,381,639",-14.6%,-38.3%,"4,534",$525,"$354,373,979",21,false
May 27,Friday,3,"$4,500,294",+89%,-47.5%,"3,805","$1,182","$358,874,273",22,false
May 28,Saturday,2,"$6,199,441",+37.8%,-55.1%,"3,805","$1,629","$365,073,714",23,false
May 29,Sunday,2,"$5,369,623",-13.4%,-46%,"3,805","$1,411","$370,443,337",24,false
May 30Memorial Day,Monday,2,"$4,274,408",-20.4%,+28.5%,"3,805","$1,123","$374,717,745",25,false
May 31,Tuesday,2,"$1,810,730",-57.6%,-41.5%,"3,805",$475,"$376,528,475",26,false
Jun 1,Wednesday,2,"$1,521,876",-16%,-45.4%,"3,805",$399,"$378,050,351",27,false
Jun 2,Thursday,2,"$1,409,765",-7.4%,-40.8%,"3,805",$370,"$379,460,116",28,false
Jun 3,Friday,2,"$2,624,250",+86.1%,-41.7%,"3,765",$697,"$382,084,366",29,false
Jun 4,Saturday,2,"$3,853,121",+46.8%,-37.8%,"3,765","$1,023","$385,937,487",30,false
Jun 5,Sunday,2,"$2,695,805",-30%,-49.8%,"3,765",$716,"$388,633,292",31,false
Jun 6,Monday,2,"$1,103,439",-59.1%,-74.2%,"3,765",$293,"$389,736,731",32,false
Jun 7,Tuesday,2,"$1,279,933",+16%,-29.3%,"3,765",$339,"$391,016,664",33,false
Jun 8,Wednesday,2,"$1,030,047",-19.5%,-32.3%,"3,765",$273,"$392,046,711",34,false
Jun 9,Thursday,2,"$876,147",-14.9%,-37.9%,"3,765",$232,"$392,922,858",35,false
Jun 10,Friday,3,"$1,427,205",+62.9%,-45.6%,"3,345",$426,"$394,350,063",36,false
Jun 11,Saturday,3,"$2,095,885",+46.9%,-45.6%,"3,345",$626,"$396,445,948",37,false
Jun 12,Sunday,3,"$1,691,975",-19.3%,-37.2%,"3,345",$505,"$398,137,923",38,false
Jun 13,Monday,3,"$626,271",-63%,-43.2%,"3,345",$187,"$398,764,194",39,false
Jun 14,Tuesday,3,"$834,845",+33.3%,-34.8%,"3,345",$249,"$399,599,039",40,false
Jun 15,Wednesday,3,"$666,630",-20.1%,-35.3%,"3,345",$199,"$400,265,669",41,false
Jun 16,Thursday,3,"$617,991",-7.3%,-29.5%,"3,345",$184,"$400,883,660",42,false
Jun 17,Friday,4,"$1,191,729",+92.8%,-16.5%,"2,465",$483,"$402,075,389",43,false
Jun 18,Saturday,4,"$1,655,222",+38.9%,-21%,"2,465",$671,"$403,730,611",44,false
Jun 19,Sunday,4,"$1,602,729",-3.2%,-5.3%,"2,465",$650,"$405,333,340",45,false
Jun 20,Monday,4,"$720,988",-55%,+15.1%,"2,465",$292,"$406,054,328",46,false
Jun 21,Tuesday,4,"$573,462",-20.5%,-31.3%,"2,465",$232,"$406,627,790",47,false
Jun 22,Wednesday,4,"$463,424",-19.2%,-30.5%,"2,465",$188,"$407,091,214",48,false
Jun 23,Thursday,4,"$375,860",-18.9%,-39.2%,"2,465",$152,"$407,467,074",49,false
Jun 24,Friday,6,"$565,150",+50.4%,-52.6%,"1,855",$304,"$408,032,224",50,false
Jun 25,Saturday,6,"$744,113",+31.7%,-55%,"1,855",$401,"$408,776,337",51,false
Jun 26,Sunday,6,"$471,330",-36.7%,-70.6%,"1,855",$254,"$409,247,667",52,false
Jun 27,Monday,6,"$244,103",-48.2%,-66.1%,"1,855",$131,"$409,491,770",53,false
