Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 5,Friday,1,"$56,078,520",-,-,"4,347","$12,900","$56,078,520",1,false
May 6,Saturday,1,"$51,304,539",-8.5%,-,"4,347","$11,802","$107,383,059",2,false
May 7,Sunday,1,"$39,127,045",-23.7%,-,"4,347","$9,000","$146,510,104",3,false
May 8,Monday,1,"$9,862,655",-74.8%,-,"4,347","$2,268","$156,372,759",4,false
May 9,Tuesday,1,"$12,097,479",+22.7%,-,"4,347","$2,782","$168,470,238",5,false
May 10,Wednesday,1,"$7,527,728",-37.8%,-,"4,347","$1,731","$175,997,966",6,false
May 11,Thursday,1,"$7,159,453",-4.9%,-,"4,347","$1,646","$183,157,419",7,false
May 12,Friday,1,"$16,490,524",+130.3%,-70.6%,"4,347","$3,793","$199,647,943",8,false
May 13,Saturday,1,"$27,879,884",+69.1%,-45.7%,"4,347","$6,413","$227,527,827",9,false
May 14,Sunday,1,"$20,893,084",-25.1%,-46.6%,"4,347","$4,806","$248,420,911",10,false
May 15,Monday,1,"$4,701,588",-77.5%,-52.3%,"4,347","$1,081","$253,122,499",11,false
May 16,Tuesday,1,"$5,946,795",+26.5%,-50.8%,"4,347","$1,368","$259,069,294",12,false
May 17,Wednesday,1,"$3,971,856",-33.2%,-47.2%,"4,347",$913,"$263,041,150",13,false
May 18,Thursday,1,"$3,696,324",-6.9%,-48.4%,"4,347",$850,"$266,737,474",14,false
May 19,Friday,2,"$8,717,079",+135.8%,-47.1%,"4,347","$2,005","$275,454,553",15,false
May 20,Saturday,1,"$14,951,137",+71.5%,-46.4%,"4,347","$3,439","$290,405,690",16,false
May 21,Sunday,1,"$10,985,538",-26.5%,-47.4%,"4,347","$2,527","$301,391,228",17,false
May 22,Monday,1,"$3,597,323",-67.3%,-23.5%,"4,347",$827,"$304,988,551",18,false
May 23,Tuesday,1,"$3,388,947",-5.8%,-43%,"4,347",$779,"$308,377,498",19,false
May 24,Wednesday,1,"$2,534,650",-25.2%,-36.2%,"4,347",$583,"$310,912,148",20,false
May 25,Thursday,2,"$2,403,779",-5.2%,-35%,"4,347",$552,"$313,315,927",21,false
May 26,Friday,3,"$5,375,096",+123.6%,-38.3%,"3,871","$1,388","$318,691,023",22,false
May 27,Saturday,2,"$7,883,339",+46.7%,-47.3%,"3,871","$2,036","$326,574,362",23,false
May 28,Sunday,2,"$7,648,686",-3%,-30.4%,"3,871","$1,975","$334,223,048",24,false
May 29Memorial Day,Monday,2,"$6,282,030",-17.9%,+74.6%,"3,871","$1,622","$340,505,078",25,false
May 30,Tuesday,3,"$2,217,839",-64.7%,-34.6%,"3,871",$572,"$342,722,917",26,false
May 31,Wednesday,3,"$1,611,729",-27.3%,-36.4%,"3,871",$416,"$344,334,646",27,false
Jun 1,Thursday,2,"$1,406,686",-12.7%,-41.5%,"3,871",$363,"$345,741,332",28,false
Jun 2,Friday,4,"$2,689,262",+91.2%,-50%,"3,507",$766,"$348,430,594",29,false
Jun 3,Saturday,4,"$4,170,243",+55.1%,-47.1%,"3,507","$1,189","$352,600,837",30,false
Jun 4,Sunday,4,"$2,979,865",-28.5%,-61%,"3,507",$849,"$355,580,702",31,false
Jun 5,Monday,5,"$1,099,210",-63.1%,-82.5%,"3,507",$313,"$356,679,912",32,false
Jun 6,Tuesday,5,"$1,436,102",+30.6%,-35.2%,"3,507",$409,"$358,116,014",33,false
Jun 7,Wednesday,4,"$997,631",-30.5%,-38.1%,"3,507",$284,"$359,113,645",34,false
Jun 8,Thursday,4,"$1,005,527",+0.8%,-28.5%,"3,507",$286,"$360,119,172",35,false
Jun 9,Friday,6,"$1,694,755",+68.5%,-37%,"2,911",$582,"$361,813,927",36,false
Jun 10,Saturday,5,"$2,707,697",+59.8%,-35.1%,"2,911",$930,"$364,521,624",37,false
Jun 11,Sunday,5,"$1,909,915",-29.5%,-35.9%,"2,911",$656,"$366,431,539",38,false
Jun 12,Monday,5,"$761,618",-60.1%,-30.7%,"2,911",$261,"$367,193,157",39,false
Jun 13,Tuesday,5,"$1,075,963",+41.3%,-25.1%,"2,911",$369,"$368,269,120",40,false
Jun 14,Wednesday,5,"$826,311",-23.2%,-17.2%,"2,911",$283,"$369,095,431",41,false
Jun 15,Thursday,5,"$775,584",-6.1%,-22.9%,"2,911",$266,"$369,871,015",42,false
Jun 16,Friday,9,"$1,223,071",+57.7%,-27.8%,"1,813",$674,"$371,094,086",43,false
Jun 17,Saturday,9,"$1,838,088",+50.3%,-32.1%,"1,813","$1,013","$372,932,174",44,false
Jun 18,Sunday,8,"$2,010,573",+9.4%,+5.3%,"1,813","$1,108","$374,942,747",45,false
Jun 19,Monday,9,"$609,510",-69.7%,-20%,"1,813",$336,"$375,552,257",46,false
Jun 20,Tuesday,9,"$684,870",+12.4%,-36.3%,"1,813",$377,"$376,237,127",47,false
Jun 21,Wednesday,10,"$467,418",-31.8%,-43.4%,"1,540",$303,"$376,704,545",48,false
Jun 22,Thursday,10,"$508,782",+8.8%,-34.4%,"1,540",$330,"$377,213,327",49,false
Jun 23,Friday,10,"$889,592",+74.8%,-27.3%,"1,468",$605,"$378,102,919",50,false
Jun 24,Saturday,10,"$1,256,695",+41.3%,-31.6%,"1,468",$856,"$379,359,614",51,false
Jun 25,Sunday,10,"$876,755",-30.2%,-56.4%,"1,468",$597,"$380,236,369",52,false
Jun 26,Monday,10,"$408,199",-53.4%,-33%,"1,468",$278,"$380,644,568",53,false
Jun 27,Tuesday,10,"$509,858",+24.9%,-25.6%,"1,468",$347,"$381,154,426",54,false
Jun 28,Wednesday,11,"$368,212",-27.8%,-21.2%,"1,380",$266,"$381,522,638",55,false
Jun 29,Thursday,11,"$321,337",-12.7%,-36.8%,"1,380",$232,"$381,843,975",56,false
Jun 30,Friday,14,"$413,183",+28.6%,-53.6%,966,$427,"$382,257,158",57,false
Jul 1,Saturday,13,"$595,852",+44.2%,-52.6%,966,$616,"$382,853,010",58,false
Jul 2,Sunday,12,"$530,484",-11%,-39.5%,966,$549,"$383,383,494",59,false
Jul 3,Monday,11,"$452,714",-14.7%,+10.9%,966,$468,"$383,836,208",60,false
Jul 4Independence Day,Tuesday,11,"$425,878",-5.9%,-16.5%,966,$440,"$384,262,086",61,false
Jul 5,Wednesday,11,"$237,608",-44.2%,-35.5%,966,$245,"$384,499,694",62,false
Jul 6,Thursday,12,"$200,312",-15.7%,-37.7%,966,$207,"$384,700,006",63,false
Jul 7,Friday,13,"$248,590",+24.1%,-39.8%,660,$376,"$384,948,596",64,false
Jul 8,Saturday,13,"$351,810",+41.5%,-41%,660,$533,"$385,300,406",65,false
Jul 9,Sunday,13,"$259,620",-26.2%,-51.1%,660,$393,"$385,560,026",66,false
Jul 10,Monday,13,"$123,332",-52.5%,-72.8%,660,$186,"$385,683,358",67,false
Jul 11,Tuesday,13,"$153,876",+24.8%,-63.9%,660,$233,"$385,837,234",68,false
Jul 12,Wednesday,13,"$117,597",-23.6%,-50.5%,660,$178,"$385,954,831",69,false
Jul 13,Thursday,13,"$107,559",-8.5%,-46.3%,660,$162,"$386,062,390",70,false
Jul 14,Friday,13,"$147,573",+37.2%,-40.6%,399,$369,"$386,209,963",71,false
Jul 15,Saturday,13,"$212,177",+43.8%,-39.7%,399,$531,"$386,422,140",72,false
Jul 16,Sunday,13,"$149,785",-29.4%,-42.3%,399,$375,"$386,571,925",73,false
Jul 17,Monday,14,"$78,501",-47.6%,-36.3%,399,$196,"$386,650,426",74,false
Jul 18,Tuesday,14,"$95,112",+21.2%,-38.2%,399,$238,"$386,745,538",75,false
Jul 19,Wednesday,13,"$80,290",-15.6%,-31.7%,399,$201,"$386,825,828",76,false
Jul 20,Thursday,13,"$69,674",-13.2%,-35.2%,399,$174,"$386,895,502",77,false
Jul 21,Friday,16,"$107,168",+53.8%,-27.4%,268,$399,"$387,002,670",78,false
Jul 22,Saturday,16,"$153,766",+43.5%,-27.5%,268,$573,"$387,156,436",79,false
Jul 23,Sunday,16,"$103,516",-32.7%,-30.9%,268,$386,"$387,259,952",80,false
Jul 24,Monday,16,"$55,260",-46.6%,-29.6%,268,$206,"$387,315,212",81,false
Jul 25,Tuesday,16,"$65,962",+19.4%,-30.6%,268,$246,"$387,381,174",82,false
Jul 26,Wednesday,16,"$54,629",-17.2%,-32%,268,$203,"$387,435,803",83,false
Jul 27,Thursday,14,"$51,604",-5.5%,-25.9%,268,$192,"$387,487,407",84,false
Jul 28,Friday,18,"$85,248",+65.2%,-20.5%,231,$369,"$387,572,655",85,false
Jul 29,Saturday,19,"$119,674",+40.4%,-22.2%,231,$518,"$387,692,329",86,false
Jul 30,Sunday,20,"$72,279",-39.6%,-30.2%,231,$312,"$387,764,608",87,false
Jul 31,Monday,18,"$41,236",-42.9%,-25.4%,231,$178,"$387,805,844",88,false
Aug 1,Tuesday,19,"$48,868",+18.5%,-25.9%,231,$211,"$387,854,712",89,false
Aug 2,Wednesday,18,"$47,982",-1.8%,-12.2%,231,$207,"$387,902,694",90,false
Aug 3,Thursday,18,"$42,741",-10.9%,-17.2%,231,$185,"$387,945,435",91,false
Aug 4,Friday,18,"$119,991",+180.7%,+40.8%,252,$476,"$388,065,426",92,false
Aug 5,Saturday,18,"$185,143",+54.3%,+54.7%,252,$734,"$388,250,569",93,false
Aug 6,Sunday,18,"$148,634",-19.7%,+105.6%,252,$589,"$388,399,203",94,false
Aug 7,Monday,18,"$61,751",-58.5%,+49.8%,252,$245,"$388,460,954",95,false
Aug 8,Tuesday,18,"$62,414",+1.1%,+27.7%,252,$247,"$388,523,368",96,false
Aug 9,Wednesday,18,"$50,612",-18.9%,+5.5%,252,$200,"$388,573,980",97,false
Aug 10,Thursday,17,"$47,968",-5.2%,+12.2%,252,$190,"$388,621,948",98,false
Aug 11,Friday,23,"$73,574",+53.4%,-38.7%,210,$350,"$388,695,522",99,false
Aug 12,Saturday,24,"$109,463",+48.8%,-40.9%,210,$521,"$388,804,985",100,false
Aug 13,Sunday,23,"$74,080",-32.3%,-50.2%,210,$352,"$388,879,065",101,false
Aug 14,Monday,23,"$30,455",-58.9%,-50.7%,210,$145,"$388,909,520",102,false
Aug 15,Tuesday,23,"$36,150",+18.7%,-42.1%,210,$172,"$388,945,670",103,false
Aug 16,Wednesday,24,"$31,575",-12.7%,-37.6%,210,$150,"$388,977,245",104,false
Aug 17,Thursday,23,"$30,150",-4.5%,-37.1%,210,$143,"$389,007,395",105,false
Aug 18,Friday,28,"$52,244",+73.3%,-29%,195,$267,"$389,059,639",106,false
