Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jul 7,Friday,1,"$50,780,982",-,-,"4,348","$11,679","$50,780,982",1,false
Jul 8,Saturday,1,"$37,045,244",-27%,-,"4,348","$8,520","$87,826,226",2,false
Jul 9,Sunday,1,"$29,201,277",-21.2%,-,"4,348","$6,716","$117,027,503",3,false
Jul 10,Monday,1,"$12,201,383",-58.2%,-,"4,348","$2,806","$129,228,886",4,false
Jul 11,Tuesday,1,"$15,053,665",+23.4%,-,"4,348","$3,462","$144,282,551",5,false
Jul 12,Wednesday,1,"$9,902,669",-34.2%,-,"4,348","$2,277","$154,185,220",6,false
Jul 13,Thursday,1,"$8,885,094",-10.3%,-,"4,348","$2,043","$163,070,314",7,false
Jul 14,Friday,2,"$13,628,237",+53.4%,-73.2%,"4,348","$3,134","$176,698,551",8,false
Jul 15,Saturday,2,"$17,587,320",+29.1%,-52.5%,"4,348","$4,044","$194,285,871",9,false
Jul 16,Sunday,2,"$12,989,653",-26.1%,-55.5%,"4,348","$2,987","$207,275,524",10,false
Jul 17,Monday,2,"$5,455,599",-58%,-55.3%,"4,348","$1,254","$212,731,123",11,false
Jul 18,Tuesday,1,"$7,536,245",+38.1%,-49.9%,"4,348","$1,733","$220,267,368",12,false
Jul 19,Wednesday,1,"$4,967,279",-34.1%,-49.8%,"4,348","$1,142","$225,234,647",13,false
Jul 20,Thursday,1,"$4,466,934",-10.1%,-49.7%,"4,348","$1,027","$229,701,581",14,false
Jul 21,Friday,4,"$6,367,940",+42.6%,-53.3%,"4,130","$1,541","$236,069,521",15,false
Jul 22,Saturday,3,"$8,931,625",+40.3%,-49.2%,"4,130","$2,162","$245,001,146",16,false
Jul 23,Sunday,3,"$6,850,520",-23.3%,-47.3%,"4,130","$1,658","$251,851,666",17,false
Jul 24,Monday,3,"$3,361,636",-50.9%,-38.4%,"4,130",$813,"$255,213,302",18,false
Jul 25,Tuesday,3,"$4,130,653",+22.9%,-45.2%,"4,130","$1,000","$259,343,955",19,false
Jul 26,Wednesday,3,"$2,787,501",-32.5%,-43.9%,"4,130",$674,"$262,131,456",20,false
Jul 27,Thursday,3,"$2,775,349",-0.4%,-37.9%,"4,130",$671,"$264,906,805",21,false
Jul 28,Friday,5,"$3,978,954",+43.4%,-37.5%,"3,625","$1,097","$268,885,759",22,false
Jul 29,Saturday,5,"$5,475,665",+37.6%,-38.7%,"3,625","$1,510","$274,361,424",23,false
Jul 30,Sunday,5,"$3,806,753",-30.5%,-44.4%,"3,625","$1,050","$278,168,177",24,false
Jul 31,Monday,4,"$1,823,408",-52.1%,-45.8%,"3,625",$503,"$279,991,585",25,false
Aug 1,Tuesday,5,"$2,474,800",+35.7%,-40.1%,"3,625",$682,"$282,466,385",26,false
Aug 2,Wednesday,4,"$1,860,586",-24.8%,-33.3%,"3,625",$513,"$284,326,971",27,false
Aug 3,Thursday,4,"$1,780,805",-4.3%,-35.8%,"3,625",$491,"$286,107,776",28,false
Aug 4,Friday,7,"$2,591,449",+45.5%,-34.9%,"3,116",$831,"$288,699,225",29,false
Aug 5,Saturday,6,"$3,633,681",+40.2%,-33.6%,"3,116","$1,166","$292,332,906",30,false
