Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jun 13,Friday,1,"$21,468,125",-,-,"3,505","$6,125","$21,468,125",1,false
Jun 14,Saturday,1,"$18,383,725",-14.4%,-,"3,505","$5,245","$39,851,850",2,false
Jun 15,Sunday,1,"$15,562,200",-15.3%,-,"3,505","$4,440","$55,414,050",3,false
Jun 16,Monday,1,"$6,010,405",-61.4%,-,"3,505","$1,714","$61,424,455",4,false
Jun 17,Tuesday,1,"$4,801,850",-20.1%,-,"3,505","$1,370","$66,226,305",5,false
Jun 18,Wednesday,1,"$4,503,925",-6.2%,-,"3,505","$1,285","$70,730,230",6,false
Jun 19,Thursday,1,"$4,189,140",-7%,-,"3,505","$1,195","$74,919,370",7,false
Jun 20,Friday,2,"$6,665,335",+59.1%,-69%,"3,508","$1,900","$81,584,705",8,false
Jun 21,Saturday,2,"$8,559,520",+28.4%,-53.4%,"3,508","$2,440","$90,144,225",9,false
Jun 22,Sunday,3,"$6,911,205",-19.3%,-55.6%,"3,508","$1,970","$97,055,430",10,false
Jun 23,Monday,3,"$2,649,125",-61.7%,-55.9%,"3,508",$755,"$99,704,555",11,false
Jun 24,Tuesday,3,"$2,333,405",-11.9%,-51.4%,"3,508",$665,"$102,037,960",12,false
Jun 25,Wednesday,3,"$2,122,340",-9%,-52.9%,"3,508",$605,"$104,160,300",13,false
Jun 26,Thursday,3,"$2,121,665",<0.1%,-49.4%,"3,508",$604,"$106,281,965",14,false
Jun 27,Friday,5,"$2,930,375",+38.1%,-56%,"3,349",$875,"$109,212,340",15,false
Jun 28,Saturday,5,"$3,749,985",+28%,-56.2%,"3,349","$1,119","$112,962,325",16,false
Jun 29,Sunday,5,"$2,896,885",-22.7%,-58.1%,"3,349",$865,"$115,859,210",17,false
Jun 30,Monday,5,"$1,323,125",-54.3%,-50.1%,"3,349",$395,"$117,182,335",18,false
Jul 1,Tuesday,6,"$1,039,225",-21.5%,-55.5%,"3,349",$310,"$118,221,560",19,false
