Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 6,Friday,1,"$25,481,796",-,-,"3,955","$6,442","$25,481,796",1,false
May 7,Saturday,1,"$23,341,263",-8.4%,-,"3,955","$5,901","$48,823,059",2,false
May 8,Sunday,1,"$16,900,279",-27.6%,-,"3,955","$4,273","$65,723,338",3,false
May 9,Monday,1,"$5,403,057",-68%,-,"3,955","$1,366","$71,126,395",4,false
May 10,Tuesday,1,"$5,410,419",+0.1%,-,"3,955","$1,367","$76,536,814",5,false
May 11,Wednesday,1,"$4,189,021",-22.6%,-,"3,955","$1,059","$80,725,835",6,false
May 12,Thursday,1,"$4,026,482",-3.9%,-,"3,955","$1,018","$84,752,317",7,false
May 13,Friday,1,"$9,140,767",+127%,-64.1%,"3,963","$2,306","$93,893,084",8,false
May 14,Saturday,1,"$15,171,878",+66%,-35%,"3,963","$3,828","$109,064,962",9,false
May 15,Sunday,1,"$10,390,390",-31.5%,-38.5%,"3,963","$2,621","$119,455,352",10,false
May 16,Monday,2,"$2,856,650",-72.5%,-47.1%,"3,963",$720,"$122,312,002",11,false
May 17,Tuesday,2,"$3,090,024",+8.2%,-42.9%,"3,963",$779,"$125,402,026",12,false
May 18,Wednesday,2,"$2,303,232",-25.5%,-45%,"3,963",$581,"$127,705,258",13,false
May 19,Thursday,2,"$2,200,897",-4.4%,-45.3%,"3,963",$555,"$129,906,155",14,false
May 20,Friday,3,"$4,353,422",+97.8%,-52.4%,"3,924","$1,109","$134,259,577",15,false
May 21,Saturday,3,"$6,492,846",+49.1%,-57.2%,"3,924","$1,654","$140,752,423",16,false
May 22,Sunday,3,"$4,609,036",-29%,-55.6%,"3,924","$1,174","$145,361,459",17,false
May 23,Monday,3,"$1,678,808",-63.6%,-41.2%,"3,924",$427,"$147,040,267",18,false
May 24,Tuesday,3,"$1,284,927",-23.5%,-58.4%,"3,924",$327,"$148,325,194",19,false
May 25,Wednesday,3,"$1,085,331",-15.5%,-52.9%,"3,924",$276,"$149,410,525",20,false
May 26,Thursday,5,"$948,778",-12.6%,-56.9%,"3,296",$287,"$150,359,303",21,false
May 27,Friday,5,"$2,483,793",+161.8%,-42.9%,"3,296",$753,"$152,843,096",22,false
May 28,Saturday,5,"$3,639,713",+46.5%,-43.9%,"3,296","$1,104","$156,482,809",23,false
May 29,Sunday,5,"$3,410,364",-6.3%,-26%,"3,296","$1,034","$159,893,173",24,false
May 30Memorial Day,Monday,5,"$2,546,271",-25.3%,+51.7%,"3,296",$772,"$162,439,444",25,false
May 31,Tuesday,5,"$853,193",-66.5%,-33.6%,"3,296",$258,"$163,292,637",26,false
Jun 1,Wednesday,5,"$772,079",-9.5%,-28.9%,"3,296",$234,"$164,064,716",27,false
Jun 2,Thursday,5,"$808,188",+4.7%,-14.8%,"3,296",$245,"$164,872,904",28,false
Jun 3,Friday,6,"$1,245,864",+54.2%,-49.8%,"2,780",$448,"$166,118,768",29,false
Jun 4,Saturday,6,"$1,830,703",+46.9%,-49.7%,"2,780",$658,"$167,949,471",30,false
Jun 5,Sunday,6,"$1,173,477",-35.9%,-65.6%,"2,780",$422,"$169,122,948",31,false
Jun 6,Monday,6,"$500,801",-57.3%,-80.3%,"2,780",$180,"$169,623,749",32,false
Jun 7,Tuesday,6,"$550,679",+10%,-35.5%,"2,780",$198,"$170,174,428",33,false
Jun 8,Wednesday,6,"$510,429",-7.3%,-33.9%,"2,780",$183,"$170,684,857",34,false
Jun 9,Thursday,7,"$544,651",+6.7%,-32.6%,"2,780",$195,"$171,229,508",35,false
Jun 10,Friday,9,"$712,214",+30.8%,-42.8%,"1,782",$399,"$171,941,722",36,false
Jun 11,Saturday,9,"$1,057,322",+48.5%,-42.2%,"1,782",$593,"$172,999,044",37,false
Jun 12,Sunday,9,"$665,679",-37%,-43.3%,"1,782",$373,"$173,664,723",38,false
Jun 13,Monday,9,"$302,910",-54.5%,-39.5%,"1,782",$169,"$173,967,633",39,false
Jun 14,Tuesday,10,"$341,126",+12.6%,-38.1%,"1,782",$191,"$174,308,759",40,false
Jun 15,Wednesday,9,"$309,120",-9.4%,-39.4%,"1,782",$173,"$174,617,879",41,false
Jun 16,Thursday,9,"$348,123",+12.6%,-36.1%,"1,782",$195,"$174,966,002",42,false
Jun 17,Friday,12,"$312,243",-10.3%,-56.2%,875,$356,"$175,278,245",43,false
Jun 18,Saturday,12,"$434,218",+39.1%,-58.9%,875,$496,"$175,712,463",44,false
Jun 19,Sunday,11,"$398,615",-8.2%,-40.1%,875,$455,"$176,111,078",45,false
Jun 20,Monday,12,"$143,401",-64%,-52.7%,875,$163,"$176,254,479",46,false
Jun 21,Tuesday,13,"$155,702",+8.6%,-54.4%,875,$177,"$176,410,181",47,false
Jun 22,Wednesday,12,"$144,504",-7.2%,-53.3%,875,$165,"$176,554,685",48,false
Jun 23,Thursday,11,"$157,379",+8.9%,-54.8%,875,$179,"$176,712,064",49,false
Jun 24,Friday,16,"$154,518",-1.8%,-50.5%,404,$382,"$176,866,582",50,false
Jun 25,Saturday,14,"$208,802",+35.1%,-51.9%,404,$516,"$177,075,384",51,false
Jun 26,Sunday,15,"$147,980",-29.1%,-62.9%,404,$366,"$177,223,364",52,false
Jun 27,Monday,15,"$74,284",-49.8%,-48.2%,404,$183,"$177,297,648",53,false
Jun 28,Tuesday,17,"$81,194",+9.3%,-47.9%,404,$200,"$177,378,842",54,false
Jun 29,Wednesday,15,"$63,035",-22.4%,-56.4%,404,$156,"$177,441,877",55,false
Jun 30,Thursday,15,"$75,403",+19.6%,-52.1%,404,$186,"$177,517,280",56,false
Jul 1,Friday,19,"$123,076",+63.2%,-20.3%,270,$455,"$177,640,356",57,false
Jul 2,Saturday,19,"$163,140",+32.6%,-21.9%,270,$604,"$177,803,496",58,false
