Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jul 8,Friday,1,"$69,554,073",-,-,"4,375","$15,898","$69,554,073",1,false
Jul 9,Saturday,1,"$42,112,494",-39.5%,-,"4,375","$9,625","$111,666,567",2,false
Jul 10,Sunday,1,"$32,498,540",-22.8%,-,"4,375","$7,428","$144,165,107",3,false
Jul 11,Monday,1,"$12,182,506",-62.5%,-,"4,375","$2,784","$156,347,613",4,false
Jul 12,Tuesday,1,"$13,655,428",+12.1%,-,"4,375","$3,121","$170,003,041",5,false
Jul 13,Wednesday,1,"$8,929,256",-34.6%,-,"4,375","$2,040","$178,932,297",6,false
Jul 14,Thursday,1,"$8,338,839",-6.6%,-,"4,375","$1,906","$187,271,136",7,false
Jul 15,Friday,1,"$13,775,873",+65.2%,-80.2%,"4,375","$3,148","$201,047,009",8,false
Jul 16,Saturday,1,"$18,501,978",+34.3%,-56.1%,"4,375","$4,229","$219,548,987",9,false
Jul 17,Sunday,1,"$14,354,321",-22.4%,-55.8%,"4,375","$3,280","$233,903,308",10,false
Jul 18,Monday,1,"$5,337,661",-62.8%,-56.2%,"4,375","$1,220","$239,240,969",11,false
Jul 19,Tuesday,1,"$6,440,182",+20.7%,-52.8%,"4,375","$1,472","$245,681,151",12,false
Jul 20,Wednesday,1,"$4,536,230",-29.6%,-49.2%,"4,375","$1,036","$250,217,381",13,false
Jul 21,Thursday,1,"$3,903,317",-14%,-53.2%,"4,375",$892,"$254,120,698",14,false
Jul 22,Friday,2,"$6,346,368",+62.6%,-53.9%,"4,370","$1,452","$260,467,066",15,false
Jul 23,Saturday,2,"$8,957,743",+41.1%,-51.6%,"4,370","$2,049","$269,424,809",16,false
Jul 24,Sunday,2,"$7,255,167",-19%,-49.5%,"4,370","$1,660","$276,679,976",17,false
Jul 25,Monday,2,"$2,985,165",-58.9%,-44.1%,"4,370",$683,"$279,665,141",18,false
Jul 26,Tuesday,2,"$3,642,056",+22%,-43.4%,"4,370",$833,"$283,307,197",19,false
Jul 27,Wednesday,2,"$2,629,778",-27.8%,-42%,"4,370",$601,"$285,936,975",20,false
Jul 28,Thursday,2,"$2,510,294",-4.5%,-35.7%,"4,370",$574,"$288,447,269",21,false
Jul 29,Friday,3,"$3,825,926",+52.4%,-39.7%,"3,650","$1,048","$292,273,195",22,false
Jul 30,Saturday,3,"$5,220,988",+36.5%,-41.7%,"3,650","$1,430","$297,494,183",23,false
Jul 31,Sunday,3,"$4,129,617",-20.9%,-43.1%,"3,650","$1,131","$301,623,800",24,false
