Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 8,Friday,1,"$31,899,210",-,-,"3,841","$8,304","$31,899,210",1,false
Nov 9,Saturday,1,"$32,078,010",+0.6%,-,"3,841","$8,351","$63,977,220",2,false
Nov 10,Sunday,1,"$21,760,621",-32.2%,-,"3,841","$5,665","$85,737,841",3,false
Nov 11,Monday,1,"$10,417,194",-52.1%,-,"3,841","$2,712","$96,155,035",4,false
Nov 12,Tuesday,1,"$5,244,111",-49.7%,-,"3,841","$1,365","$101,399,146",5,false
Nov 13,Wednesday,1,"$3,565,731",-32%,-,"3,841",$928,"$104,964,877",6,false
Nov 14,Thursday,1,"$3,546,237",-0.5%,-,"3,841",$923,"$108,511,114",7,false
Nov 15,Friday,2,"$10,524,470",+196.8%,-67%,"3,841","$2,740","$119,035,584",8,false
Nov 16,Saturday,1,"$16,761,427",+59.3%,-47.7%,"3,841","$4,363","$135,797,011",9,false
Nov 17,Sunday,1,"$9,300,119",-44.5%,-57.3%,"3,841","$2,421","$145,097,130",10,false
Nov 18,Monday,2,"$2,209,623",-76.2%,-78.8%,"3,841",$575,"$147,306,753",11,false
Nov 19,Tuesday,1,"$2,729,808",+23.5%,-47.9%,"3,841",$710,"$150,036,561",12,false
Nov 20,Wednesday,1,"$2,004,268",-26.6%,-43.8%,"3,841",$521,"$152,040,829",13,false
Nov 21,Thursday,1,"$1,679,992",-16.2%,-52.6%,"3,841",$437,"$153,720,821",14,false
Nov 22,Friday,2,"$4,041,487",+140.6%,-61.6%,"3,713","$1,088","$157,762,308",15,false
Nov 23,Saturday,2,"$6,378,333",+57.8%,-61.9%,"3,713","$1,717","$164,140,641",16,false
Nov 24,Sunday,2,"$3,776,482",-40.8%,-59.4%,"3,713","$1,017","$167,917,123",17,false
Nov 25,Monday,2,"$1,360,662",-64%,-38.4%,"3,713",$366,"$169,277,785",18,false
Nov 26,Tuesday,2,"$1,941,500",+42.7%,-28.9%,"3,713",$522,"$171,219,285",19,false
Nov 27,Wednesday,3,"$2,346,359",+20.9%,+17.1%,"3,286",$714,"$173,565,644",20,false
Nov 28Thanksgiving,Thursday,3,"$2,054,146",-12.5%,+22.3%,"3,286",$625,"$175,619,790",21,false
Nov 29,Friday,3,"$4,477,422",+118%,+10.8%,"3,286","$1,362","$180,097,212",22,false
Nov 30,Saturday,3,"$4,461,688",-0.4%,-30%,"3,286","$1,357","$184,558,900",23,false
Dec 1,Sunday,3,"$2,146,186",-51.9%,-43.2%,"3,286",$653,"$186,705,086",24,false
Dec 2,Monday,3,"$531,201",-75.2%,-61%,"3,286",$161,"$187,236,287",25,false
Dec 3,Tuesday,4,"$655,345",+23.4%,-66.2%,"3,286",$199,"$187,891,632",26,false
Dec 4,Wednesday,3,"$498,942",-23.9%,-78.7%,"3,286",$151,"$188,390,574",27,false
Dec 5,Thursday,3,"$509,068",+2%,-75.2%,"3,286",$154,"$188,899,642",28,false
Dec 6,Friday,4,"$1,295,977",+154.6%,-71.1%,"3,074",$421,"$190,195,619",29,false
Dec 7,Saturday,3,"$2,272,980",+75.4%,-49.1%,"3,074",$739,"$192,468,599",30,false
Dec 8,Sunday,3,"$1,242,588",-45.3%,-42.1%,"3,074",$404,"$193,711,187",31,false
Dec 9,Monday,4,"$397,478",-68%,-25.2%,"3,074",$129,"$194,108,665",32,false
