Movie,Release Date,Rotten Tomato,Url
Iron Man,"May 2, 2008",94% (281 reviews)[288],https://www.boxofficemojo.com/release/rl1482327553/
The Incredible Hulk,"June 13, 2008",67% (239 reviews)[291],https://www.boxofficemojo.com/release/rl2791015937/?ref_=bo_tt_gr_1
Iron Man 2,"May 7, 2010",72% (304 reviews)[294],https://www.boxofficemojo.com/release/rl1515881985/?ref_=bo_tt_gr_1
Thor,"May 6, 2011",77% (296 reviews)[297],https://www.boxofficemojo.com/release/rl3094644225/
Captain America: The First Avenger,"July 22, 2011",80% (275 reviews)[300],https://www.boxofficemojo.com/release/rl1900578305/
Marvel's The Avengers,"May 4, 2012",91% (368 reviews)[303],https://www.boxofficemojo.com/release/rl709199361/
Iron Man 3,"May 3, 2013",79% (331 reviews)[306],https://www.boxofficemojo.com/release/rl1532659201/
Thor: The Dark World,"November 8, 2013",67% (288 reviews)[309],https://www.boxofficemojo.com/release/rl3111421441/
Captain America: The Winter Soldier,"April 4, 2014",90% (312 reviews)[311],https://www.boxofficemojo.com/release/rl3194193409/
Guardians of the Galaxy,"August 1, 2014",92% (339 reviews)[314],https://www.boxofficemojo.com/release/rl3177416193/
Avengers: Age of Ultron,"May 1, 2015",76% (378 reviews)[318],https://www.boxofficemojo.com/release/rl675644929/
Ant-Man,"July 17, 2015",83% (342 reviews)[320],https://www.boxofficemojo.com/release/rl88245761/
Captain America: Civil War,"May 6, 2016",91% (430 reviews)[323],https://www.boxofficemojo.com/release/rl3210970625/
Doctor Strange,"November 4, 2016",89% (389 reviews)[325],https://www.boxofficemojo.com/release/rl3076752897/
Guardians of the Galaxy Vol. 2,"May 5, 2017",85% (425 reviews)[328],https://www.boxofficemojo.com/release/rl2976089601/
Spider-Man: Homecoming,"July 7, 2017",92% (400 reviews)[330],https://www.boxofficemojo.com/release/rl863208961/
Thor: Ragnarok,"November 3, 2017",93% (440 reviews)[333],https://www.boxofficemojo.com/release/rl2959312385/
Black Panther,"February 16, 2018",96% (532 reviews)[335],https://www.boxofficemojo.com/release/rl2992866817/
Avengers: Infinity War,"April 27, 2018",85% (492 reviews)[338],https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_gr_rls
Ant-Man and the Wasp,"July 6, 2018",87% (446 reviews)[342],https://www.boxofficemojo.com/release/rl2088535553/?ref_=bo_tt_gr_1
Captain Marvel,"March 8, 2019",79% (553 reviews)[345],https://www.boxofficemojo.com/release/rl3009644033/?ref_=bo_gr_rls
Avengers: Endgame,"April 26, 2019",94% (556 reviews)[348],https://www.boxofficemojo.com/release/rl3059975681/?ref_=bo_tt_gr_1
Spider-Man: Far From Home,"July 2, 2019",90% (459 reviews)[351],https://www.boxofficemojo.com/release/rl3791750657/?ref_=bo_tt_gr_1
Black Widow,"July 9, 2021",79% (457 reviews)[354],https://www.boxofficemojo.com/release/rl2122089985/?ref_=bo_gr_rls
Shang-Chi and the Legend of the Ten Rings,"September 3, 2021",92% (343 reviews)[357],https://www.boxofficemojo.com/release/rl3490022913/?ref_=bo_rl_tab#tabs
Eternals,"November 5, 2021",47% (413 reviews)[360],https://www.boxofficemojo.com/release/rl2138867201/?ref_=bo_tt_gr_1
Spider-Man: No Way Home,"December 17, 2021",93% (431 reviews)[363],https://www.boxofficemojo.com/release/rl2869659137/?ref_=bo_gr_rls
Doctor Strange in the Multiverse of Madness,"May 6, 2022",73% (460 reviews)[366],https://www.boxofficemojo.com/release/rl3724903937/?ref_=bo_tt_gr_1
Thor: Love and Thunder,"July 8, 2022",63% (446 reviews)[369],https://www.boxofficemojo.com/release/rl3523577345/?ref_=bo_tt_gr_1
Black Panther: Wakanda Forever,"November 11, 2022",83% (447 reviews)[372],https://www.boxofficemojo.com/release/rl3573908993/?ref_=bo_tt_gr_1
Ant-Man and the Wasp: Quantumania,"February 17, 2023",46% (410 reviews)[375],https://www.boxofficemojo.com/release/rl3195306753/?ref_=bo_tt_gr_1
Guardians of the Galaxy Vol. 3,"May 5, 2023",82% (401 reviews)[378],https://www.boxofficemojo.com/release/rl2977202945/?ref_=bo_tt_gr_1
The Marvels,"November 10, 2023",62% (263 reviews)[381],https://www.boxofficemojo.com/release/rl247366145/?ref_=bo_tt_gr_1
